怪八卦,3.45,4.383
更加小心,5.111,7.188
格外小心,3.95,6.5
特别小心,5,7
极为小心,3.989,6.925
万分小心,4.6,7.5
怪小偷,2.9,5.1
更为不利,2.375,6.389
相当不利,2.5,6.444
最为不利,2.5,6.643
极其不利,2.867,6.275
极为不利,2.275,7.088
略不足,4.244,3.478
略微不足,4.711,3.657
稍不足,4.211,4.438
极度不足,2.756,4.788
较不足,4,4.375
较为不足,3.438,4.12
稍微不足,4.522,4.233
相当不便,2.9,5.375
极为不便,2.875,5.833
较为不便,4.375,5.078
完全不符,2.4,5.286
十分不满,2.256,7.444
尤其不满,2.167,7.422
相当不满,2.111,7
最为不满,2.45,7.138
越发不满,2.86,6.95
极其不满,1.933,7.389
极度不满,2.256,7.422
极为不满,2.388,7.489
极度不适,2.433,6
稍微分享,6.167,4.322
极度反感,1.389,7.889
完全支持,8.111,6.722
特别支持,7.55,6.722
较为支持,7.8,4.85
较支持,6.667,5.356
相当出色,8,6.389
最为出色,8.056,6.288
极为出色,8.125,6.314
比较可怕,3.113,6.722
好可怕,3,7
有点可怕,3.333,6.375
更可怕,3,7
更为可怕,2.47,7.188
很可怕,2.5,7
挺可怕,2.59,7.378
最可怕,2,7.5
最为可怕,2.49,6.717
还可怕,2.75,7.188
蛮可怕,3.1,6.778
挺可悲,2.65,6.125
蛮可悲,2.375,6.813
十分可爱,7.678,7.143
太可爱,8,7
比较可爱,6.944,6
好可爱,8,7
怪可爱,6.95,6.45
非常可爱,8,7.313
挺可爱,7.422,6.278
超可爱,8,7.556
蛮可爱,7.571,6.563
超级可爱,8.2,7.267
好可怜,3,6
有点可怜,4.063,4.556
怪可怜,2.678,5.4
很可怜,2.556,6
挺可怜,2.844,6.075
超可怜,2.56,6.413
完全失控,2,8
有点失望,2.9,5.625
非常失望,2,7
相当失望,2,7
略失望,3.833,5.313
略微失望,2.313,5.87
极度失望,1.63,7.244
极为失望,1.733,7.214
异常平静,7.589,1.857
稍微打,3.588,6.556
完全打击,2.875,7.438
比较正,6.5,5.571
很正,7,6
挺正,6.611,5.778
最正,7.4,6
超正,7.556,6.667
超级正,7.967,6.8
越正,7,6
蛮正,7.31,6.257
极为正面,7.478,5.133
稍用力,5.125,5.875
稍稍用力,4.813,5.688
稍微用力,5.613,7.057
愈用力,4.85,7.625
老白痴,2.413,7
老白痴,1.571,7.917
超丢脸,1.813,7.313
超级丢脸,2.088,6.811
太凶,2.556,8
越凶,3,7.713
愈凶,2.667,7.667
完全同意,7.444,5.333
十分好,7.833,6.667
太好,8.1,6.625
尤其好,7.9,6.3
比较好,6.667,5.333
完全好,7.625,6.333
非常好,8.5,6.625
很好,8,6
相当好,7.4,6
挺好,6.925,5.656
特别好,7.556,6.375
略好,5.913,4.625
异常好,7.311,6.25
无比好,7.7,6.871
稍好,6.278,4.411
稍微好,6.611,5.925
超好,8.444,7
超级好,7.625,6.667
越好,7.267,5.378
愈好,7.47,6.25
较好,7.311,5.344
蛮好,6.933,5.086
比较好玩,6.338,5.8
挺好玩,7,5.744
超好玩,7.433,6.6
蛮好玩,7,6.222
太好笑,7.25,7.375
比较好笑,6.944,6.844
更好笑,6.833,7
很好笑,7,7
